training_seed,checkpoint,mean_reward,std_reward,median_reward,min_reward,max_reward,mean_length,success_rate_500
42,best,468.45,88.82920409414912,500.0,116.0,500.0,468.45,0.85
42,final,492.44,29.59571590619156,500.0,302.0,500.0,492.44,0.91
123,best,477.84,68.85168407526427,500.0,167.0,500.0,477.84,0.88
123,final,484.69,52.91099980155356,500.0,183.0,500.0,484.69,0.9
456,best,478.84,61.73713955148878,500.0,230.0,500.0,478.84,0.88
456,final,491.3,35.62653505464712,500.0,288.0,500.0,491.3,0.93
789,best,498.47,10.832778960174528,500.0,412.0,500.0,498.47,0.98
789,final,491.24,37.61173221217017,500.0,234.0,500.0,491.24,0.93
1000,best,476.26,72.62955596725068,500.0,100.0,500.0,476.26,0.88
1000,final,471.1,71.2604378319415,500.0,140.0,500.0,471.1,0.81
