episode,average_reward,average_length
25,27.55,27.55
50,66.1,66.1
75,47.9,47.9
100,127.5,127.5
125,186.75,186.75
150,135.8,135.8
175,154.75,154.75
200,266.75,266.75
225,81.1,81.1
250,29.15,29.15
275,143.55,143.55
300,205.45,205.45
325,104.8,104.8
350,75.8,75.8
375,106.15,106.15
400,147.1,147.1
425,258.95,258.95
450,340.4,340.4
475,71.85,71.85
500,157.55,157.55
525,370.8,370.8
550,500.0,500.0
575,255.5,255.5
600,500.0,500.0
625,500.0,500.0
650,494.7,494.7
675,500.0,500.0
700,500.0,500.0
725,458.25,458.25
750,410.65,410.65
775,395.05,395.05
800,388.8,388.8
825,99.25,99.25
850,82.3,82.3
875,87.2,87.2
900,114.9,114.9
925,500.0,500.0
950,137.0,137.0
975,83.25,83.25
1000,78.8,78.8
