episode,average_reward,average_length
25,33.3,33.3
50,26.35,26.35
75,35.1,35.1
100,29.5,29.5
125,38.7,38.7
150,47.75,47.75
175,52.7,52.7
200,57.05,57.05
225,56.65,56.65
250,49.1,49.1
275,57.1,57.1
300,91.3,91.3
325,116.4,116.4
350,118.9,118.9
375,142.25,142.25
400,208.95,208.95
425,235.35,235.35
450,177.15,177.15
475,243.35,243.35
500,261.75,261.75
525,357.1,357.1
550,327.0,327.0
575,324.75,324.75
600,373.75,373.75
625,366.5,366.5
650,373.8,373.8
675,350.95,350.95
700,239.45,239.45
725,280.9,280.9
750,359.25,359.25
775,344.15,344.15
800,290.3,290.3
825,388.85,388.85
850,419.0,419.0
875,294.8,294.8
900,371.75,371.75
925,349.35,349.35
950,438.6,438.6
975,452.05,452.05
1000,490.35,490.35
1025,476.2,476.2
1050,474.35,474.35
1075,484.25,484.25
1100,485.85,485.85
1125,484.35,484.35
1150,500.0,500.0
1175,493.25,493.25
1200,434.65,434.65
1225,485.7,485.7
1250,500.0,500.0
1275,500.0,500.0
1300,500.0,500.0
1325,474.9,474.9
1350,500.0,500.0
1375,469.9,469.9
1400,435.35,435.35
1425,464.3,464.3
1450,463.9,463.9
1475,252.05,252.05
1500,242.65,242.65
1525,478.5,478.5
1550,460.5,460.5
1575,497.55,497.55
1600,488.2,488.2
1625,500.0,500.0
1650,500.0,500.0
1675,500.0,500.0
1700,500.0,500.0
1725,480.0,480.0
1750,491.45,491.45
1775,500.0,500.0
1800,498.1,498.1
1825,491.95,491.95
1850,500.0,500.0
1875,448.0,448.0
1900,420.55,420.55
1925,473.35,473.35
1950,436.55,436.55
1975,474.65,474.65
2000,476.8,476.8
