episode,average_reward,average_length
25,23.75,23.75
50,27.15,27.15
75,26.1,26.1
100,30.4,30.4
125,32.25,32.25
150,46.25,46.25
175,49.1,49.1
200,45.55,45.55
225,87.05,87.05
250,72.9,72.9
275,98.4,98.4
300,111.9,111.9
325,156.85,156.85
350,120.6,120.6
375,193.5,193.5
400,212.75,212.75
425,208.3,208.3
450,181.85,181.85
475,192.4,192.4
500,225.35,225.35
525,273.6,273.6
550,349.9,349.9
575,299.1,299.1
600,307.1,307.1
625,389.0,389.0
650,351.15,351.15
675,397.3,397.3
700,371.7,371.7
725,324.75,324.75
750,380.2,380.2
775,423.5,423.5
800,432.7,432.7
825,399.75,399.75
850,432.4,432.4
875,422.85,422.85
900,481.7,481.7
925,467.45,467.45
950,382.1,382.1
975,406.85,406.85
1000,417.0,417.0
