episode,reward,loss
1,41.0,514.6961059570312
2,21.0,143.74803161621094
3,27.0,232.00221252441406
4,23.0,169.2648468017578
5,74.0,1487.5732421875
6,17.0,106.85016632080078
7,23.0,167.2428436279297
8,23.0,172.31356811523438
9,42.0,514.0279541015625
10,22.0,158.39950561523438
11,47.0,629.1480102539062
12,39.0,450.83740234375
13,41.0,481.8492126464844
14,38.0,424.22393798828125
15,26.0,217.44248962402344
16,24.0,190.02882385253906
17,110.0,2766.375
18,22.0,157.3207244873047
19,42.0,495.5999755859375
20,49.0,657.2733154296875
21,20.0,131.18472290039062
22,39.0,443.23345947265625
23,131.0,3862.954833984375
24,30.0,280.54107666015625
25,25.0,200.77346801757812
26,29.0,260.96612548828125
27,61.0,1001.600830078125
28,49.0,652.2237548828125
29,25.0,209.54684448242188
30,39.0,436.4433898925781
31,116.0,3049.86279296875
32,59.0,906.8809814453125
33,26.0,209.51290893554688
34,89.0,1874.33544921875
35,47.0,606.174072265625
36,52.0,737.6258544921875
37,48.0,630.4496459960938
38,18.0,117.88296508789062
39,51.0,715.8737182617188
40,32.0,316.257568359375
41,38.0,457.42059326171875
42,42.0,477.7154235839844
43,30.0,303.1499938964844
44,48.0,611.236328125
45,52.0,704.242431640625
46,36.0,343.9273986816406
47,80.0,1526.2481689453125
48,76.0,1437.9354248046875
49,101.0,2279.84375
50,57.0,832.0505981445312
51,85.0,1795.7340087890625
52,21.0,150.74087524414062
53,38.0,409.4785461425781
54,61.0,986.3768310546875
55,68.0,1192.858154296875
56,44.0,532.0656127929688
57,43.0,500.17572021484375
58,41.0,423.4900817871094
59,30.0,256.10430908203125
60,48.0,569.7684326171875
61,50.0,634.0355224609375
62,15.0,81.68475341796875
63,50.0,692.8425903320312
64,29.0,233.5569610595703
65,44.0,497.11334228515625
66,43.0,496.10504150390625
67,22.0,140.21961975097656
68,37.0,347.1940002441406
69,66.0,1038.01513671875
70,42.0,494.00946044921875
71,67.0,1167.3519287109375
72,43.0,456.7641906738281
73,69.0,1162.5965576171875
74,50.0,618.2857666015625
75,32.0,263.6998596191406
76,56.0,776.7342529296875
77,63.0,882.0065307617188
78,74.0,1389.48974609375
79,97.0,2085.922119140625
80,59.0,815.1151733398438
81,111.0,2664.472412109375
82,146.0,4497.86279296875
83,132.0,3394.783447265625
84,100.0,2293.89111328125
85,120.0,2891.684814453125
86,89.0,1759.4268798828125
87,141.0,3879.185546875
88,63.0,978.4840698242188
89,98.0,2105.142333984375
90,48.0,569.5985717773438
91,140.0,3714.364501953125
92,56.0,807.5662841796875
93,120.0,3008.744140625
94,143.0,3749.09423828125
95,150.0,4296.4326171875
96,75.0,1279.8038330078125
97,308.0,11910.96875
98,181.0,5348.82470703125
99,127.0,3076.0751953125
100,123.0,2978.22119140625
101,149.0,3909.0361328125
102,118.0,2499.204833984375
103,79.0,1516.448486328125
104,74.0,1211.852783203125
105,58.0,834.1063842773438
106,111.0,2429.64111328125
107,94.0,1721.9835205078125
108,56.0,766.2871704101562
109,96.0,1834.615478515625
110,43.0,428.8644714355469
111,123.0,2736.201416015625
112,42.0,408.53814697265625
113,21.0,136.36769104003906
114,115.0,2512.43359375
115,104.0,2177.31689453125
