method,training_seed,checkpoint,mean_reward,std_reward,median_reward,min_reward,max_reward,mean_length,success_rate_500
vanilla,42,best,468.45,88.82920409414912,500.0,116.0,500.0,468.45,0.85
vanilla,42,final,492.44,29.59571590619156,500.0,302.0,500.0,492.44,0.91
vanilla,123,best,477.84,68.85168407526427,500.0,167.0,500.0,477.84,0.88
vanilla,123,final,484.69,52.91099980155356,500.0,183.0,500.0,484.69,0.9
vanilla,456,best,478.84,61.73713955148878,500.0,230.0,500.0,478.84,0.88
vanilla,456,final,491.3,35.62653505464712,500.0,288.0,500.0,491.3,0.93
vanilla,789,best,498.47,10.832778960174528,500.0,412.0,500.0,498.47,0.98
vanilla,789,final,491.24,37.61173221217017,500.0,234.0,500.0,491.24,0.93
vanilla,1000,best,476.26,72.62955596725068,500.0,100.0,500.0,476.26,0.88
vanilla,1000,final,471.1,71.2604378319415,500.0,140.0,500.0,471.1,0.81
standardized,42,best,497.36,15.921381849575747,500.0,374.0,500.0,497.36,0.97
standardized,42,final,498.58,14.128821606914004,500.0,358.0,500.0,498.58,0.99
standardized,123,best,481.38,59.610532626374,500.0,174.0,500.0,481.38,0.88
standardized,123,final,498.11,17.001114669338598,500.0,330.0,500.0,498.11,0.98
standardized,456,best,489.96,43.9963453027635,500.0,192.0,500.0,489.96,0.92
standardized,456,final,485.36,47.34290231914388,500.0,274.0,500.0,485.36,0.9
standardized,789,best,484.93,59.93100282825241,500.0,94.0,500.0,484.93,0.92
standardized,789,final,498.76,12.337844220122086,500.0,376.0,500.0,498.76,0.99
standardized,1000,best,490.16,41.77743888751439,500.0,258.0,500.0,490.16,0.94
standardized,1000,final,499.19,8.059398240563622,500.0,419.0,500.0,499.19,0.99
value_baseline,42,best,490.82,41.06102288058591,500.0,194.0,500.0,490.82,0.93
value_baseline,42,final,500.0,0.0,500.0,500.0,500.0,500.0,1.0
value_baseline,123,best,483.64,51.40087936990961,500.0,227.0,500.0,483.64,0.87
value_baseline,123,final,498.71,9.109659708243772,500.0,427.0,500.0,498.71,0.98
value_baseline,456,best,480.46,63.05781791340389,500.0,221.0,500.0,480.46,0.9
value_baseline,456,final,500.0,0.0,500.0,500.0,500.0,500.0,1.0
value_baseline,789,best,486.0,54.047016568909704,500.0,204.0,500.0,486.0,0.92
value_baseline,789,final,497.75,15.848895860595462,500.0,375.0,500.0,497.75,0.98
value_baseline,1000,best,489.04,42.057085015488184,500.0,163.0,500.0,489.04,0.89
value_baseline,1000,final,496.92,28.21938340928092,500.0,217.0,500.0,496.92,0.97
