episode,average_reward,average_length
25,20.65,20.65
50,36.3,36.3
75,42.2,42.2
100,41.65,41.65
125,50.35,50.35
150,50.9,50.9
175,48.9,48.9
200,52.6,52.6
225,74.35,74.35
250,74.1,74.1
275,100.6,100.6
300,121.65,121.65
325,99.5,99.5
350,125.1,125.1
375,140.25,140.25
400,133.6,133.6
425,204.4,204.4
450,252.6,252.6
475,315.0,315.0
500,309.75,309.75
525,205.05,205.05
550,272.2,272.2
575,348.95,348.95
600,417.6,417.6
625,419.05,419.05
650,416.85,416.85
675,444.85,444.85
700,440.4,440.4
725,446.4,446.4
750,474.4,474.4
775,431.4,431.4
800,467.45,467.45
825,477.9,477.9
850,385.4,385.4
875,467.65,467.65
900,427.75,427.75
925,458.45,458.45
950,466.75,466.75
975,470.7,470.7
1000,484.35,484.35
1025,494.05,494.05
1050,477.85,477.85
1075,490.75,490.75
1100,495.2,495.2
1125,500.0,500.0
1150,258.9,258.9
1175,435.5,435.5
1200,488.8,488.8
1225,483.6,483.6
1250,489.15,489.15
1275,470.05,470.05
1300,437.05,437.05
1325,478.35,478.35
1350,475.7,475.7
1375,483.2,483.2
1400,476.25,476.25
1425,493.25,493.25
1450,473.55,473.55
1475,476.15,476.15
1500,493.8,493.8
1525,493.9,493.9
1550,491.2,491.2
1575,500.0,500.0
1600,482.65,482.65
1625,488.05,488.05
1650,500.0,500.0
1675,489.05,489.05
1700,499.95,499.95
1725,498.25,498.25
1750,500.0,500.0
1775,500.0,500.0
1800,500.0,500.0
1825,497.75,497.75
1850,500.0,500.0
1875,500.0,500.0
1900,496.15,496.15
1925,497.15,497.15
1950,500.0,500.0
1975,489.95,489.95
2000,500.0,500.0
