episode,average_reward,average_length
25,33.3,33.3
50,29.05,29.05
75,38.35,38.35
100,39.75,39.75
125,53.35,53.35
150,55.95,55.95
175,58.65,58.65
200,56.15,56.15
225,71.75,71.75
250,68.85,68.85
275,78.15,78.15
300,121.35,121.35
325,167.9,167.9
350,149.3,149.3
375,196.1,196.1
400,210.1,210.1
425,177.05,177.05
450,279.9,279.9
475,335.5,335.5
500,358.25,358.25
525,392.75,392.75
550,388.65,388.65
575,456.0,456.0
600,438.1,438.1
625,402.55,402.55
650,448.8,448.8
675,451.55,451.55
700,482.45,482.45
725,461.85,461.85
750,500.0,500.0
775,475.95,475.95
800,460.4,460.4
825,481.0,481.0
850,495.05,495.05
875,483.85,483.85
900,500.0,500.0
925,490.45,490.45
950,442.85,442.85
975,482.75,482.75
1000,500.0,500.0
1025,492.3,492.3
1050,496.85,496.85
1075,486.95,486.95
1100,497.4,497.4
1125,500.0,500.0
1150,470.55,470.55
1175,500.0,500.0
1200,500.0,500.0
1225,500.0,500.0
1250,489.45,489.45
1275,500.0,500.0
1300,500.0,500.0
1325,498.0,498.0
1350,500.0,500.0
1375,500.0,500.0
1400,500.0,500.0
1425,490.85,490.85
1450,500.0,500.0
1475,500.0,500.0
1500,500.0,500.0
1525,500.0,500.0
1550,498.45,498.45
1575,491.85,491.85
1600,500.0,500.0
1625,500.0,500.0
1650,500.0,500.0
1675,500.0,500.0
1700,500.0,500.0
1725,493.05,493.05
1750,492.25,492.25
1775,500.0,500.0
1800,500.0,500.0
1825,500.0,500.0
1850,500.0,500.0
1875,278.85,278.85
1900,476.85,476.85
1925,500.0,500.0
1950,500.0,500.0
1975,500.0,500.0
2000,500.0,500.0
