episode,average_reward,average_length
25,25.15,25.15
50,25.25,25.25
75,28.1,28.1
100,26.3,26.3
125,42.85,42.85
150,55.1,55.1
175,44.1,44.1
200,53.3,53.3
225,69.95,69.95
250,93.85,93.85
275,100.4,100.4
300,93.95,93.95
325,116.2,116.2
350,167.05,167.05
375,251.6,251.6
400,210.2,210.2
425,284.5,284.5
450,339.8,339.8
475,262.2,262.2
500,273.1,273.1
525,428.7,428.7
550,330.95,330.95
575,413.05,413.05
600,245.1,245.1
625,209.2,209.2
650,328.1,328.1
675,455.2,455.2
700,429.4,429.4
725,424.45,424.45
750,384.9,384.9
775,343.45,343.45
800,445.45,445.45
825,442.7,442.7
850,449.4,449.4
875,425.45,425.45
900,470.65,470.65
925,431.2,431.2
950,361.85,361.85
975,415.45,415.45
1000,440.25,440.25
1025,481.2,481.2
1050,468.05,468.05
1075,449.1,449.1
1100,455.35,455.35
1125,462.75,462.75
1150,472.0,472.0
1175,464.1,464.1
1200,473.4,473.4
1225,460.75,460.75
1250,497.6,497.6
1275,463.45,463.45
1300,500.0,500.0
1325,479.65,479.65
1350,452.7,452.7
1375,350.45,350.45
1400,433.5,433.5
1425,432.05,432.05
1450,296.5,296.5
1475,228.95,228.95
1500,217.65,217.65
1525,271.25,271.25
1550,428.35,428.35
1575,485.9,485.9
1600,457.4,457.4
1625,446.3,446.3
1650,483.45,483.45
1675,445.05,445.05
1700,500.0,500.0
1725,462.1,462.1
1750,487.0,487.0
1775,479.85,479.85
1800,469.1,469.1
1825,435.65,435.65
1850,442.85,442.85
1875,420.95,420.95
1900,500.0,500.0
1925,441.3,441.3
1950,500.0,500.0
1975,495.9,495.9
2000,490.3,490.3
