episode,average_reward,average_length
25,31.15,31.15
50,43.1,43.1
75,111.8,111.8
100,91.05,91.05
125,169.95,169.95
150,231.0,231.0
175,347.1,347.1
200,213.8,213.8
225,136.4,136.4
250,180.3,180.3
275,156.5,156.5
300,175.45,175.45
325,363.0,363.0
350,399.45,399.45
375,289.85,289.85
400,500.0,500.0
425,475.5,475.5
450,471.55,471.55
475,487.55,487.55
500,467.85,467.85
525,302.75,302.75
550,185.1,185.1
575,500.0,500.0
600,500.0,500.0
625,499.75,499.75
650,500.0,500.0
675,492.05,492.05
700,500.0,500.0
725,500.0,500.0
750,306.4,306.4
775,150.45,150.45
800,128.95,128.95
825,355.1,355.1
850,420.7,420.7
875,500.0,500.0
900,500.0,500.0
925,500.0,500.0
950,500.0,500.0
975,500.0,500.0
1000,500.0,500.0
