episode,reward,policy_loss
1,10.0,34.60675048828125
2,21.0,145.66360473632812
3,11.0,37.85432052612305
4,28.0,263.2069091796875
5,13.0,56.8526611328125
6,13.0,52.05809783935547
7,14.0,64.53936767578125
8,31.0,308.6376037597656
9,21.0,145.8313446044922
10,31.0,312.785400390625
11,25.0,227.4503631591797
12,23.0,169.42747497558594
13,14.0,64.94603729248047
14,22.0,155.11907958984375
15,16.0,84.990966796875
16,33.0,340.77349853515625
17,19.0,117.82022094726562
18,33.0,335.92828369140625
19,19.0,132.38792419433594
20,37.0,425.9188537597656
21,18.0,107.0987548828125
22,28.0,247.40652465820312
23,19.0,119.03338623046875
24,40.0,486.0201416015625
25,12.0,64.28012084960938
26,29.0,262.9587097167969
27,33.0,334.63067626953125
28,37.0,405.3545227050781
29,26.0,210.4950408935547
30,27.0,229.9848175048828
31,23.0,170.26336669921875
32,44.0,604.6177978515625
33,29.0,252.8056640625
34,12.0,51.26301956176758
35,22.0,149.30233764648438
36,20.0,131.565185546875
37,44.0,576.0073852539062
38,32.0,312.8626708984375
39,71.0,1348.5552978515625
40,24.0,193.82559204101562
41,22.0,153.5607452392578
42,28.0,248.83609008789062
43,11.0,54.28569030761719
44,84.0,1755.0579833984375
45,23.0,176.62051391601562
46,50.0,701.233642578125
47,35.0,364.7287902832031
48,92.0,2093.2314453125
49,28.0,230.5802001953125
50,24.0,185.1502227783203
51,118.0,3097.121337890625
52,38.0,404.79296875
53,21.0,144.69053649902344
54,65.0,1053.6689453125
55,129.0,3568.5400390625
56,41.0,461.16717529296875
57,89.0,1870.8511962890625
58,32.0,299.20416259765625
59,49.0,648.5826416015625
60,41.0,481.0890197753906
61,61.0,941.1241455078125
62,57.0,837.7686157226562
63,61.0,910.7999877929688
64,41.0,474.69989013671875
65,22.0,151.6089630126953
66,56.0,790.4506225585938
67,59.0,874.65966796875
68,115.0,2864.778076171875
69,68.0,1082.585205078125
70,43.0,461.3816833496094
71,77.0,1418.2886962890625
72,69.0,1125.6112060546875
73,99.0,2179.699462890625
74,25.0,192.97695922851562
75,49.0,638.7993774414062
76,115.0,2658.32177734375
77,49.0,593.8360595703125
78,30.0,273.2225646972656
79,77.0,1380.311279296875
80,195.0,6418.98193359375
81,151.0,4126.66796875
82,152.0,4340.2060546875
83,136.0,3361.231689453125
84,69.0,1358.5213623046875
85,98.0,2324.06884765625
86,87.0,1680.7689208984375
87,99.0,2037.653564453125
88,236.0,8562.8212890625
89,136.0,4036.56005859375
90,134.0,3132.73193359375
91,201.0,6254.9462890625
92,129.0,3136.45703125
93,98.0,2038.5723876953125
94,112.0,2470.06640625
95,99.0,2288.0546875
96,36.0,357.1415100097656
97,170.0,4889.6435546875
98,40.0,387.2448425292969
99,42.0,505.7467041015625
100,79.0,1415.5843505859375
101,86.0,1559.154541015625
102,46.0,531.529296875
103,54.0,691.1132202148438
104,95.0,1847.3021240234375
105,51.0,646.8820190429688
106,42.0,415.29937744140625
107,44.0,492.4621276855469
108,58.0,854.1787719726562
109,146.0,4085.062255859375
110,93.0,1716.0435791015625
111,107.0,2391.2529296875
112,93.0,1879.538818359375
113,68.0,930.8250732421875
114,95.0,1893.361572265625
115,135.0,3051.6552734375
116,161.0,4675.02490234375
117,163.0,4534.498046875
118,94.0,1908.360107421875
119,194.0,6178.8251953125
120,134.0,3228.735107421875
121,138.0,3424.82568359375
122,119.0,2851.580078125
123,138.0,3373.41064453125
124,135.0,3697.4541015625
125,106.0,2451.370849609375
126,195.0,6366.99267578125
127,131.0,3332.3154296875
128,125.0,3109.3876953125
129,142.0,3433.837890625
130,231.0,7732.189453125
131,299.0,11608.046875
132,328.0,12710.6728515625
133,278.0,10249.048828125
134,294.0,11229.974609375
135,500.0,22997.7578125
136,134.0,3617.676513671875
137,126.0,3184.248779296875
138,284.0,10960.5185546875
139,119.0,2946.076416015625
140,303.0,11968.091796875
141,198.0,6391.40234375
142,85.0,1701.6279296875
143,105.0,2312.30859375
144,371.0,15764.9111328125
145,225.0,7646.4326171875
146,109.0,2536.646240234375
147,127.0,3205.892578125
148,312.0,12399.826171875
149,242.0,8518.986328125
150,215.0,7088.8212890625
151,129.0,3478.09765625
152,120.0,2797.76123046875
153,191.0,5796.11083984375
154,217.0,6962.85205078125
155,500.0,21977.955078125
156,98.0,2088.06689453125
157,500.0,21838.5078125
158,162.0,4390.81298828125
159,205.0,6564.93408203125
160,411.0,17408.806640625
161,500.0,21489.28515625
162,500.0,22379.93359375
163,500.0,21260.751953125
164,462.0,19177.25
165,141.0,3850.778564453125
166,500.0,21785.001953125
167,500.0,22055.107421875
168,220.0,6742.646484375
169,464.0,19627.34375
170,277.0,10049.6162109375
171,476.0,20503.296875
172,349.0,14111.859375
173,372.0,15082.458984375
174,331.0,12665.8759765625
175,208.0,6559.93994140625
176,331.0,12251.9365234375
177,117.0,2615.762451171875
178,262.0,9053.2607421875
179,428.0,17236.6328125
180,208.0,6960.173828125
181,184.0,5321.01708984375
182,500.0,21978.30859375
183,241.0,7825.63134765625
184,362.0,13962.23828125
185,500.0,20860.69921875
186,500.0,20161.046875
187,500.0,21834.39453125
188,378.0,14978.451171875
189,500.0,20244.146484375
190,500.0,22053.650390625
191,462.0,18941.087890625
192,451.0,18024.470703125
193,455.0,18859.71875
194,500.0,21107.02734375
195,277.0,9849.6201171875
196,383.0,14505.3017578125
197,177.0,5054.28662109375
198,294.0,10071.185546875
199,231.0,7228.9453125
200,296.0,11237.6162109375
201,251.0,8417.4609375
202,130.0,2894.23974609375
203,145.0,3469.244873046875
204,176.0,5227.64892578125
205,177.0,4827.0185546875
206,207.0,6349.22998046875
207,193.0,5564.0078125
208,180.0,5392.677734375
209,143.0,3445.27197265625
210,157.0,4573.611328125
211,147.0,3661.98583984375
212,130.0,3015.1357421875
