episode,average_reward,average_length
25,39.8,39.8
50,70.35,70.35
75,84.4,84.4
100,116.0,116.0
125,280.9,280.9
150,109.8,109.8
175,366.15,366.15
200,468.4,468.4
225,500.0,500.0
250,492.9,492.9
275,498.6,498.6
300,498.2,498.2
325,469.95,469.95
350,500.0,500.0
375,500.0,500.0
400,500.0,500.0
425,500.0,500.0
450,493.2,493.2
475,489.95,489.95
500,500.0,500.0
525,500.0,500.0
550,496.95,496.95
575,485.7,485.7
600,239.65,239.65
625,134.5,134.5
650,125.6,125.6
675,119.95,119.95
700,177.2,177.2
725,256.25,256.25
750,500.0,500.0
775,500.0,500.0
800,500.0,500.0
825,475.85,475.85
850,476.55,476.55
875,500.0,500.0
900,500.0,500.0
925,500.0,500.0
950,130.35,130.35
975,476.0,476.0
1000,479.0,479.0
