episode,average_reward,average_length
25,25.75,25.75
50,58.35,58.35
75,68.55,68.55
100,235.55,235.55
125,431.15,431.15
150,447.35,447.35
175,493.45,493.45
200,463.7,463.7
225,475.7,475.7
250,500.0,500.0
275,500.0,500.0
300,498.65,498.65
325,500.0,500.0
350,500.0,500.0
375,485.6,485.6
400,460.1,460.1
425,480.8,480.8
450,428.65,428.65
475,494.0,494.0
500,500.0,500.0
525,500.0,500.0
550,480.8,480.8
575,500.0,500.0
600,500.0,500.0
625,500.0,500.0
650,500.0,500.0
675,500.0,500.0
700,464.7,464.7
725,500.0,500.0
750,500.0,500.0
775,500.0,500.0
800,500.0,500.0
825,500.0,500.0
850,500.0,500.0
875,500.0,500.0
900,500.0,500.0
925,500.0,500.0
950,500.0,500.0
975,500.0,500.0
1000,500.0,500.0
