episode,total_steps,average_reward,average_length
10,218,9.3,9.3
20,413,9.3,9.3
30,634,9.0,9.0
40,894,8.4,8.4
50,1113,9.2,9.2
60,1272,9.2,9.2
70,1460,9.1,9.1
80,1664,9.2,9.2
90,1814,16.2,16.2
100,2112,17.1,17.1
110,2315,23.6,23.6
120,2604,34.6,34.6
130,3058,138.0,138.0
140,3546,151.6,151.6
150,4061,126.0,126.0
160,4709,147.7,147.7
170,5522,168.8,168.8
180,6421,102.2,102.2
190,7629,202.9,202.9
200,9024,218.6,218.6
210,10648,182.0,182.0
220,12292,190.2,190.2
230,13802,175.3,175.3
240,15570,205.8,205.8
250,17261,186.5,186.5
