episode,total_steps,reward,length,mean_loss,epsilon
1,9,9.0,9,,0.99924
2,42,33.0,33,,0.996105
3,61,19.0,19,,0.9943
4,86,25.0,25,,0.991925
5,106,20.0,20,,0.990025
6,164,58.0,58,,0.984515
7,177,13.0,13,,0.98328
8,189,12.0,12,,0.98214
9,204,15.0,15,,0.980715
10,218,14.0,14,,0.979385
11,232,14.0,14,,0.978055
12,255,23.0,23,,0.97587
13,270,15.0,15,,0.974445
14,285,15.0,15,,0.97302
15,299,14.0,14,,0.97169
16,315,16.0,16,,0.97017
17,340,25.0,25,,0.967795
18,358,18.0,18,,0.966085
19,385,27.0,27,,0.96352
20,413,28.0,28,,0.96086
21,428,15.0,15,,0.959435
22,444,16.0,16,,0.957915
23,482,38.0,38,,0.954305
24,502,20.0,20,0.557599683602651,0.952405
25,512,10.0,10,0.5178679764270783,0.951455
26,537,25.0,25,0.41020134687423704,0.94908
27,580,43.0,43,0.2516898304917092,0.944995
28,603,23.0,23,0.14346975574026938,0.94281
29,617,14.0,14,0.10374824170555387,0.94148
30,634,17.0,17,0.07730476076112074,0.939865
31,668,34.0,34,0.05185305776403231,0.936635
32,694,26.0,26,0.03450268643120161,0.934165
33,733,39.0,39,0.02525275468062132,0.93046
34,759,26.0,26,0.20143674973111886,0.92799
35,769,10.0,10,0.393200209736824,0.92704
36,798,29.0,29,0.22855951816871248,0.924285
37,825,27.0,27,0.09913091803038562,0.92172
38,845,20.0,20,0.0625772268511355,0.91982
39,877,32.0,32,0.05126731423661113,0.91678
40,894,17.0,17,0.0505155903451583,0.915165
41,919,25.0,25,0.04424885235726833,0.91279
42,941,22.0,22,0.03894685549576851,0.9107000000000001
43,971,30.0,30,0.034286448080092666,0.90785
44,993,22.0,22,0.03577645154754547,0.90576
45,1010,17.0,17,0.3395525798858965,0.904145
46,1020,10.0,10,0.3442922353744507,0.903195
47,1043,23.0,23,0.16977052001849466,0.90101
48,1055,12.0,12,0.09379156694437067,0.8998700000000001
49,1068,13.0,13,0.09627708735374305,0.898635
50,1113,45.0,45,0.09195507415052917,0.89436
51,1124,11.0,11,0.0862598679959774,0.893315
52,1141,17.0,17,0.09057142552645768,0.8917
53,1153,12.0,12,0.07337387433896463,0.89056
54,1175,22.0,22,0.08056214218959212,0.88847
55,1199,24.0,24,0.07399479336648558,0.88619
56,1214,15.0,15,0.07365959696471691,0.884765
57,1232,18.0,18,0.07726346773819791,0.883055
58,1246,14.0,14,0.0776550487415599,0.881725
59,1257,11.0,11,0.41897774318402464,0.88068
60,1272,15.0,15,0.35077558557192484,0.879255
61,1286,14.0,14,0.15881908179393836,0.877925
62,1302,16.0,16,0.16880302736535668,0.876405
63,1314,12.0,12,0.10895433858968318,0.875265
64,1340,26.0,26,0.12792358776697746,0.872795
65,1368,28.0,28,0.12453072414999562,0.870135
66,1388,20.0,20,0.1582111303694546,0.868235
67,1398,10.0,10,0.09425669242627918,0.8672850000000001
