episode,total_steps,average_reward,average_length
10,218,9.3,9.3
20,413,9.3,9.3
30,634,9.0,9.0
40,902,8.4,8.4
50,1098,9.1,9.1
60,1245,9.2,9.2
70,1474,12.3,12.3
80,1675,40.1,40.1
90,1984,53.3,53.3
100,2254,70.7,70.7
110,2535,75.7,75.7
120,2850,67.4,67.4
130,3159,75.1,75.1
140,3625,49.0,49.0
150,4244,75.6,75.6
160,4791,85.2,85.2
170,5375,99.9,99.9
180,6760,320.3,320.3
190,8938,235.0,235.0
200,11592,357.5,357.5
210,14119,344.1,344.1
220,17035,299.6,299.6
230,19636,244.5,244.5
240,22117,247.5,247.5
250,24820,239.7,239.7
