episode,total_steps,reward,length,mean_loss,epsilon
1,9,9.0,9,,0.99924
2,42,33.0,33,,0.996105
3,61,19.0,19,,0.9943
4,86,25.0,25,,0.991925
5,106,20.0,20,,0.990025
6,164,58.0,58,,0.984515
7,177,13.0,13,,0.98328
8,189,12.0,12,,0.98214
9,204,15.0,15,,0.980715
10,218,14.0,14,,0.979385
11,232,14.0,14,,0.978055
12,255,23.0,23,,0.97587
13,270,15.0,15,,0.974445
14,285,15.0,15,,0.97302
15,299,14.0,14,,0.97169
16,315,16.0,16,,0.97017
17,340,25.0,25,,0.967795
18,358,18.0,18,,0.966085
19,385,27.0,27,,0.96352
20,413,28.0,28,,0.96086
21,428,15.0,15,,0.959435
22,444,16.0,16,,0.957915
23,482,38.0,38,,0.954305
24,502,20.0,20,1.123944918314616,0.952405
25,512,10.0,10,1.04056778550148,0.951455
26,537,25.0,25,0.8222335195541381,0.94908
27,580,43.0,43,0.5082960641661356,0.944995
28,603,23.0,23,0.2924129619546559,0.94281
29,617,14.0,14,0.21280765214136668,0.94148
30,634,17.0,17,0.1587918733849245,0.939865
31,668,34.0,34,0.10680193475940648,0.936635
32,694,26.0,26,0.0708790781119695,0.934165
33,733,39.0,39,0.05187871240270443,0.93046
34,759,26.0,26,0.40591031234138286,0.92799
35,769,10.0,10,0.7847947955131531,0.92704
36,798,29.0,29,0.4608425775478626,0.924285
37,825,27.0,27,0.21122741340487092,0.92172
38,845,20.0,20,0.13848903123289347,0.91982
39,885,40.0,40,0.11100109624676406,0.9160200000000001
40,902,17.0,17,0.09499425594420995,0.914405
41,921,19.0,19,0.09852954529617962,0.9126
42,941,20.0,20,0.08226202758960426,0.9107000000000001
43,971,30.0,30,0.07186313879986604,0.90785
44,993,22.0,22,0.06820962946353988,0.90576
45,1010,17.0,17,0.6676173458314117,0.904145
46,1025,15.0,15,0.6247104346752167,0.90272
47,1034,9.0,9,0.40575185749265885,0.901865
48,1049,15.0,15,0.2935012544194857,0.90044
49,1069,20.0,20,0.24896188117563725,0.89854
50,1098,29.0,29,0.21650143571454902,0.895785
51,1109,11.0,11,0.23416376147757878,0.89474
52,1120,11.0,11,0.23294361206618222,0.893695
53,1132,12.0,12,0.25458040336767834,0.892555
54,1143,11.0,11,0.2473197023976933,0.89151
55,1153,10.0,10,0.20635115802288057,0.89056
56,1177,24.0,24,0.19483841862529516,0.88828
57,1193,16.0,16,0.18341998662799597,0.88676
58,1213,20.0,20,0.17727603716775775,0.88486
59,1233,20.0,20,0.1672158647328615,0.88296
60,1245,12.0,12,0.18517424600819746,0.88182
61,1276,31.0,31,0.7486773032334543,0.878875
62,1287,11.0,11,0.3710681369358843,0.87783
63,1310,23.0,23,0.4074921234632316,0.875645
64,1327,17.0,17,0.38615736694020386,0.87403
65,1342,15.0,15,0.29560643223424754,0.8726050000000001
66,1367,25.0,25,0.34980500280857085,0.8702300000000001
67,1413,46.0,46,0.3700854789627635,0.8658600000000001
