episode,total_steps,average_reward,average_length
10,218,9.3,9.3
20,413,9.3,9.3
30,634,12.0,12.0
40,862,9.8,9.8
50,1113,17.2,17.2
60,1356,30.9,30.9
70,1631,35.8,35.8
80,1886,58.6,58.6
90,2248,95.7,95.7
100,2663,248.7,248.7
110,3249,184.8,184.8
120,3897,189.1,189.1
130,4626,206.3,206.3
140,5837,270.0,270.0
150,8427,303.1,303.1
160,10562,269.9,269.9
170,12897,269.0,269.0
180,15380,286.8,286.8
190,18112,239.1,239.1
200,20498,253.0,253.0
210,22798,220.5,220.5
220,24956,233.5,233.5
230,27199,227.3,227.3
240,29419,232.4,232.4
250,31631,238.4,238.4
