episode,total_steps,reward,length,mean_loss,epsilon
1,9,9.0,9,,0.99924
2,42,33.0,33,,0.996105
3,61,19.0,19,,0.9943
4,86,25.0,25,,0.991925
5,106,20.0,20,,0.990025
6,164,58.0,58,,0.984515
7,177,13.0,13,,0.98328
8,189,12.0,12,,0.98214
9,204,15.0,15,,0.980715
10,218,14.0,14,,0.979385
11,232,14.0,14,,0.978055
12,255,23.0,23,,0.97587
13,270,15.0,15,,0.974445
14,285,15.0,15,,0.97302
15,299,14.0,14,,0.97169
16,315,16.0,16,,0.97017
17,340,25.0,25,,0.967795
18,358,18.0,18,,0.966085
19,385,27.0,27,,0.96352
20,413,28.0,28,,0.96086
21,428,15.0,15,,0.959435
22,444,16.0,16,,0.957915
23,482,38.0,38,,0.954305
24,502,20.0,20,1.1104966799418132,0.952405
25,512,10.0,10,0.9455848097801208,0.951455
26,537,25.0,25,0.5754086077213287,0.94908
27,580,43.0,43,0.19081406901742137,0.944995
28,603,23.0,23,0.06510636615364448,0.94281
29,617,14.0,14,0.044739394315651486,0.94148
30,634,17.0,17,0.03727660262409378,0.939865
31,664,30.0,30,0.02381665203720331,0.937015
32,700,36.0,36,0.013431953395613365,0.933595
33,713,13.0,13,0.008423477626190735,0.93236
34,743,30.0,30,0.004711993434466421,0.9295100000000001
35,759,16.0,16,0.5223123615869554,0.92799
36,768,9.0,9,0.44418052501148647,0.927135
37,786,18.0,18,0.1572268476916684,0.9254249999999999
38,801,15.0,15,0.11957399720946947,0.924
39,843,42.0,42,0.06001172824541018,0.92001
40,862,19.0,19,0.050924801561785374,0.918205
41,884,22.0,22,0.04244881764646958,0.916115
42,912,28.0,28,0.039274787929441245,0.913455
43,929,17.0,17,0.04496141325901536,0.91184
44,956,27.0,27,0.0411023881148409,0.909275
45,974,18.0,18,0.04001352907572356,0.907565
46,1001,27.0,27,0.10984994641815622,0.905
47,1019,18.0,18,0.4937996707028813,0.90329
48,1057,38.0,38,0.1778716077341845,0.89968
49,1068,11.0,11,0.14017310806296088,0.898635
50,1113,45.0,45,0.11646948550931281,0.89436
51,1124,11.0,11,0.09951024739579721,0.893315
52,1183,59.0,59,0.11978739279053979,0.88771
53,1214,31.0,31,0.10172279227164484,0.884765
54,1228,14.0,14,0.09056885234479393,0.883435
55,1241,13.0,13,0.1139640507216637,0.8822
56,1254,13.0,13,0.42459928444944894,0.880965
57,1265,11.0,11,0.47056200287558814,0.87992
58,1285,20.0,20,0.2912999756634235,0.87802
59,1318,33.0,33,0.21827004940220804,0.874885
60,1356,38.0,38,0.21625080322356602,0.871275
61,1392,36.0,36,0.22001125425514248,0.867855
62,1443,51.0,51,0.20185927509823265,0.86301
63,1466,23.0,23,0.19287629571297896,0.860825
64,1480,14.0,14,0.15900140362126486,0.859495
65,1512,32.0,32,0.3873720749397762,0.856455
66,1534,22.0,22,0.3084569266912612,0.854365
67,1577,43.0,43,0.2814639006243196,0.85028
