episode,total_steps,reward,length,mean_loss,epsilon
1,8,8.0,8,,0.9995566666666666
2,65,57.0,57,,0.9959466666666666
3,83,18.0,18,,0.9948066666666666
4,98,15.0,15,,0.9938566666666667
5,109,11.0,11,,0.99316
6,128,19.0,19,,0.9919566666666667
7,141,13.0,13,,0.9911333333333333
8,156,15.0,15,,0.9901833333333333
9,166,10.0,10,,0.98955
10,194,28.0,28,,0.9877766666666666
11,217,23.0,23,,0.98632
12,231,14.0,14,,0.9854333333333334
13,254,23.0,23,,0.9839766666666667
14,269,15.0,15,,0.9830266666666667
15,284,15.0,15,,0.9820766666666667
16,298,14.0,14,,0.98119
17,314,16.0,16,,0.9801766666666667
18,339,25.0,25,,0.9785933333333333
19,357,18.0,18,,0.9774533333333333
20,379,22.0,22,,0.97606
21,404,25.0,25,,0.9744766666666667
22,415,11.0,11,,0.97378
23,436,21.0,21,,0.97245
24,453,17.0,17,,0.9713733333333333
25,478,25.0,25,,0.96979
26,504,26.0,26,,0.9681433333333334
27,535,31.0,31,,0.96618
28,546,11.0,11,,0.9654833333333334
29,577,31.0,31,,0.96352
30,609,32.0,32,,0.9614933333333333
31,622,13.0,13,,0.96067
32,639,17.0,17,,0.9595933333333333
33,666,27.0,27,,0.9578833333333333
34,677,11.0,11,,0.9571866666666666
35,696,19.0,19,,0.9559833333333333
36,707,11.0,11,,0.9552866666666666
37,719,12.0,12,,0.9545266666666666
38,740,21.0,21,,0.9531966666666667
39,754,14.0,14,,0.95231
40,770,16.0,16,,0.9512966666666667
41,799,29.0,29,,0.94946
42,829,30.0,30,,0.94756
43,840,11.0,11,,0.9468633333333334
44,855,15.0,15,,0.9459133333333334
45,871,16.0,16,,0.9449
46,901,30.0,30,,0.9430000000000001
47,914,13.0,13,,0.9421766666666667
48,924,10.0,10,,0.9415433333333333
49,935,11.0,11,,0.9408466666666667
50,961,26.0,26,,0.9392
51,995,34.0,34,,0.9370466666666667
52,1018,23.0,23,0.4800019979476929,0.93559
53,1034,16.0,16,0.42012618482112885,0.9345766666666666
54,1054,20.0,20,0.3656480431556702,0.93331
55,1075,21.0,21,0.31383376717567446,0.93198
56,1094,19.0,19,0.25923278629779817,0.9307766666666667
