episode,total_steps,average_reward,average_length
10,240,16.25,16.25
20,493,16.25,16.25
30,705,16.25,16.25
40,959,16.25,16.25
50,1230,9.4,9.4
60,1479,9.15,9.15
70,1676,9.15,9.15
80,1856,9.15,9.15
90,1994,9.15,9.15
100,2248,9.15,9.15
110,2462,9.4,9.4
120,2632,10.25,10.25
130,2866,10.6,10.6
140,3049,11.45,11.45
150,3222,14.05,14.05
160,3373,14.65,14.65
170,3597,15.45,15.45
180,3791,12.25,12.25
190,4002,19.8,19.8
200,4198,15.6,15.6
210,4424,166.75,166.75
220,4724,96.6,96.6
230,5206,141.55,141.55
240,5668,137.35,137.35
250,6246,139.0,139.0
260,6701,149.7,149.7
270,7253,229.3,229.3
280,8581,370.15,370.15
290,9889,311.7,311.7
300,12715,325.3,325.3
310,16438,335.95,335.95
320,19633,262.9,262.9
330,22289,230.4,230.4
340,24349,293.4,293.4
350,26323,183.35,183.35
360,27921,227.85,227.85
370,29336,138.25,138.25
380,30560,136.1,136.1
390,31870,135.4,135.4
400,33061,111.9,111.9
410,34288,114.6,114.6
420,35427,112.6,112.6
430,36549,118.1,118.1
440,37600,112.4,112.4
450,38624,113.5,113.5
460,39760,113.05,113.05
470,41391,111.25,111.25
480,42593,183.95,183.95
490,43717,111.95,111.95
500,45014,136.75,136.75
510,46462,112.0,112.0
520,48527,296.1,296.1
530,50076,133.3,133.3
540,51471,126.0,126.0
550,52817,142.7,142.7
560,54183,148.1,148.1
570,55562,144.8,144.8
580,56862,131.1,131.1
590,58162,123.95,123.95
600,59487,129.15,129.15
610,60787,132.95,132.95
620,62068,126.7,126.7
630,63350,135.3,135.3
640,64639,135.15,135.15
650,65947,133.75,133.75
660,67238,122.7,122.7
670,68514,124.95,124.95
680,69798,127.05,127.05
690,71069,131.95,131.95
700,72363,136.8,136.8
710,73620,131.85,131.85
720,74912,134.65,134.65
730,76216,144.75,144.75
740,77513,131.4,131.4
750,78707,116.2,116.2
760,80046,257.75,257.75
770,81433,125.25,125.25
780,82777,128.9,128.9
790,84169,127.45,127.45
800,85734,309.2,309.2
810,87342,170.15,170.15
820,89673,356.85,356.85
830,93439,221.7,221.7
840,96237,319.6,319.6
850,99081,430.35,430.35
860,103770,425.05,425.05
870,108770,500.0,500.0
880,113770,500.0,500.0
890,118770,500.0,500.0
