episode,total_steps,average_reward,average_length
50,4491,-205.80242499398793,72.4
100,10555,-187.08399241370267,885.2
150,15662,-136.23604248926117,1000.0
200,21531,-148.7934824149392,1000.0
250,26429,-170.7517232888909,544.65
300,33050,-177.1250806201956,332.05
350,39550,-183.82544444832064,312.2
400,44665,-188.38290262145304,584.35
450,49749,-175.73117019561957,390.2
500,57023,-150.93223687102125,377.85
550,73920,-46.90580128256236,1000.0
600,119528,-41.890056285588194,964.35
650,157743,158.26902828941087,542.35
700,181340,212.70051113314102,501.7
750,196927,163.55099969267872,809.75
800,212458,218.5438938918106,438.65
850,230365,193.26446368250953,460.15
900,246674,253.82499547562375,299.95
950,261127,246.8203001808065,272.3
1000,275954,225.77533517209503,252.1
1050,292574,260.2521242957726,282.8
1100,305550,243.80242897361182,345.9
1150,320174,215.62040952358998,544.65
1200,338390,250.27784351451956,332.85
1250,351681,260.782500549769,254.95
1300,364231,179.0498678582525,304.95
1350,375731,218.48523088459496,259.3
1400,385880,233.3030413192223,164.8
1450,395933,271.71079625484316,231.85
1500,409755,241.97425161185265,267.65
1550,422438,237.16121136964483,212.65
1600,434238,237.1484194678422,372.55
1650,444699,213.19887316753267,202.5
1700,456805,215.5923439434654,201.0
1750,469134,245.4802961093174,233.5
1800,480004,276.2429573193784,201.6
1850,492252,280.31117553406625,202.25
1900,503334,227.80340282425476,277.25
1950,514555,204.7237904475093,316.8
2000,526571,264.8421841346948,318.9
