episode,total_steps,reward,length,mean_loss,epsilon
1,110,-158.88128383783442,110,,0.9989645
2,224,-239.38890776072492,114,,0.9978815
3,299,-192.38652836837258,75,,0.997169
4,378,-93.88890045202305,79,,0.9964185
5,492,-45.25108376694478,114,,0.9953355
6,583,-129.72954445399324,91,,0.994471
7,659,-78.25337561211919,76,,0.993749
8,728,-233.15594523028167,69,,0.9930935
9,803,-77.6930314854437,75,,0.992381
10,875,-77.71987009408525,72,,0.991697
11,960,-129.70482227776537,85,,0.9908895
12,1022,-104.76003053748948,62,,0.9903005
13,1102,-89.86295616789734,80,,0.9895405
14,1209,-304.39192358868945,107,,0.988524
15,1331,-241.4012628739207,122,,0.987365
16,1393,-131.3074989430994,62,,0.986776
17,1481,-106.2560742891901,88,,0.98594
18,1583,-227.65315890330413,102,,0.984971
19,1659,-105.36448661848395,76,,0.984249
20,1719,-94.02441729489279,60,,0.983679
21,1816,-390.015529502634,97,,0.9827575
22,1908,-297.03922246319735,92,,0.9818835
23,1978,-71.33479975291651,70,,0.9812185
24,2042,-110.4545391298318,64,,0.9806105
25,2157,-82.57007681985019,115,,0.979518
26,2245,-359.89194257702275,88,,0.978682
27,2342,20.350977787659716,97,,0.9777605
28,2447,-248.04834265765663,105,,0.976763
29,2565,-129.10276990174322,118,,0.975642
30,2656,-109.90269903631423,91,,0.9747775
31,2786,-122.3880531862855,130,,0.9735425
32,2840,-162.46900593009752,54,,0.9730295
33,2946,-129.5140941211382,106,,0.9720225
34,3088,-130.09137115024464,142,,0.9706735
35,3178,-450.45511613599376,90,,0.9698185
36,3317,-264.4518115462165,139,,0.968498
37,3381,-70.03345490453356,64,,0.96789
38,3477,-125.96190373761578,96,,0.966978
39,3588,-199.01155423893942,111,,0.9659235
40,3659,-210.434847586643,71,,0.965249
41,3723,-127.58981284246642,64,,0.964641
42,3830,-244.47008559545154,107,,0.9636245
43,3926,-4.405336103690544,96,,0.9627125
44,4017,-98.27964054986221,91,,0.961848
45,4095,-174.67344181932992,78,,0.961107
46,4166,-171.6878542789068,71,,0.9604325
47,4239,-135.63402892586527,73,,0.959739
48,4307,-177.9231236538639,68,,0.959093
49,4422,-130.28123131945853,115,,0.9580005
50,4491,-117.55415449410114,69,,0.957345
51,4587,-126.72910275338084,96,,0.956433
52,4650,-111.80137239596809,63,,0.9558345
53,4768,-292.43306706767584,118,,0.9547135
54,4844,-124.83570286419655,76,,0.9539915
55,4936,-331.1930651244319,92,,0.9531175000000001
56,5009,-177.51264743109903,73,117.68656463623047,0.952424
57,5142,-121.61821249587979,133,126.26119282729644,0.9511605
58,5210,-109.94774459842283,68,107.01853619077626,0.9505145
59,5298,-266.48534014574676,88,120.78773100267757,0.9496785
60,5370,-74.19233750961459,72,122.77584780752659,0.9489945
61,5484,-176.85316997661295,114,106.07856691511054,0.9479115
62,5564,-88.03961267421901,80,102.85441451519728,0.9471515
63,5669,-97.03924137717868,105,105.51792722202482,0.946154
64,5815,-139.9516511316921,146,82.49575423337009,0.944767
65,5922,-196.66495497298195,107,111.91769637014264,0.9437505
66,6034,-256.0831723076284,112,78.03744979309184,0.9426865
67,6109,-117.99817555356596,75,109.25046825091044,0.941974
68,6207,-277.7653495400552,98,82.767179663084,0.941043
69,6345,-87.43704196328433,138,91.59167749207953,0.939732
70,6424,-211.6442571114813,79,83.31343141160434,0.9389815
71,6523,-191.20093414744153,99,90.307219334323,0.938041
72,6626,-274.20734016215147,103,95.77591711977153,0.9370625
73,6727,-76.14997103436804,101,73.2848283111459,0.936103
74,6815,-190.4470091374986,88,93.23843476243995,0.935267
75,7815,70.68394806230017,1000,72.93628109061719,0.925767
76,7927,-158.35171151072075,112,61.446305465485366,0.924703
77,8082,-146.51752982517368,155,75.6813829429688,0.9232305
78,8188,-183.489887154111,106,62.42668795923017,0.9222235
79,8277,48.60163070856652,89,60.684294268656316,0.921378
80,8352,-77.27869154122976,75,76.12653500398,0.9206655
81,8501,-385.64318824805474,149,52.322187972548825,0.91925
82,8603,-146.03005930802976,102,57.02256589426714,0.918281
83,8737,-257.29939374241053,134,62.751542015751795,0.917008
84,8874,-180.97385245837688,137,69.28181934704746,0.9157065
85,8945,-104.30612667139053,71,54.30055262085418,0.915032
86,9023,-122.63490251178969,78,49.45855376200798,0.914291
87,9138,-80.42973526488997,115,53.04319225135057,0.9131985
88,9290,-94.88460617141828,152,48.25082435066763,0.9117545
89,9422,-79.47184487901126,132,57.154672183773734,0.9105005
90,9534,-100.63296379167518,112,58.47481202759913,0.9094365
91,9600,-150.45928734290678,66,53.105341375777215,0.9088095
92,9701,-243.88788954219882,101,56.437890278230796,0.90785
93,9786,-99.99280055658058,85,50.411897643874674,0.9070425
94,9956,-193.44451689473706,170,57.57486744663294,0.9054275
95,10025,-86.51876316410946,69,49.812528387359954,0.904772
96,10113,-309.68731661549134,88,48.1510904350064,0.903936
97,10198,2.5141976041269913,85,52.079545005630045,0.9031285
98,10322,-278.64879310732124,124,62.52638257991883,0.9019505
99,10425,-50.53601560179088,103,82.39290919813138,0.900972
100,10555,-240.52301986687598,130,61.20934388866792,0.899737
101,10670,24.884790592723775,115,45.761929536902386,0.8986445000000001
102,10759,-118.9202480968019,89,64.05803325738799,0.897799
103,10874,-165.75688828181728,115,49.27336822540864,0.8967065000000001
104,10995,-89.39896511738735,121,55.61271491474356,0.895557
105,11112,-97.01753590497782,117,61.77116462104341,0.8944455
106,11251,-273.25894450019496,139,48.30006898435757,0.893125
107,11388,-136.85942739962405,137,58.38975008865342,0.8918235
108,11494,-196.25014170050713,106,63.24692802496676,0.8908165
109,11599,-44.049941070543,105,60.32858311278479,0.889819
110,11691,-82.12298275933468,92,59.96201385104138,0.888945
111,11768,-115.24777643343751,77,49.79704996672544,0.8882135
112,11875,-314.7976868700785,107,65.27246839420818,0.887197
113,11975,-103.28426622242921,100,50.62147398591041,0.886247
114,12092,-194.74145044326622,117,73.88100241595863,0.8851355
115,12168,-69.0583308053724,76,52.03203174471855,0.8844135
116,12291,2.7552292524806177,123,55.25632176457382,0.8832450000000001
117,12447,-175.2236870500032,156,66.18215752717776,0.881763
118,12513,-76.55578262398117,66,65.97743093696508,0.881136
119,12590,-95.99332939393962,77,58.46185091408816,0.8804045
120,12712,-43.00693821930521,122,59.55033271918531,0.8792455
121,12828,-149.29146045066818,116,60.73901488246589,0.8781435
122,12900,-13.020301033942076,72,46.833999022013614,0.8774595000000001
123,13010,-158.65636808420217,110,69.90020865635438,0.8764145
124,13130,-198.3743605370385,120,59.31614007850488,0.8752745
125,13204,-136.18768961308845,74,43.78641386531495,0.8745715000000001
126,13278,-106.27563823032776,74,35.74254984307934,0.8738685
127,13355,-69.5746707639986,77,69.07854851964233,0.873137
128,13466,-120.53507840273464,111,46.56962064257613,0.8720825
129,13578,-172.75479598917062,112,62.893215106001925,0.8710185
130,13653,-47.5161429295748,75,59.88181777159373,0.870306
131,13726,-71.13649699732818,73,57.33532092016037,0.8696125
132,13840,-312.8099650940208,114,49.63382611619799,0.8685295
133,13926,-96.58388561290526,86,80.12213243440141,0.8677125
134,14063,-148.72533325946435,137,50.71023634968013,0.866411
135,14128,-100.79689831989954,65,79.11624309833233,0.8657935
136,14221,-74.64048113711941,93,54.60159310474191,0.8649100000000001
137,14375,-37.84953687872827,154,65.82872852141207,0.863447
138,14483,-171.67377940952528,108,75.76801020127756,0.862421
139,14563,-124.41029748184481,80,50.568670897185804,0.861661
140,14660,-79.44922805052605,97,65.72306436054485,0.8607395
141,14748,-146.5742255086202,88,53.53252707083117,0.8599035
142,14847,-248.15816769656323,99,58.95352482314062,0.858963
143,14924,-53.29604115464128,77,60.78470649038042,0.8582315
144,15078,-309.6850492944352,154,68.24166450175372,0.8567685
145,15174,-261.7831060198407,96,65.79625441133976,0.8558565
146,15308,-105.9864835898945,134,60.9728933234713,0.8545834999999999
147,15373,-64.01832470130029,65,63.116367620688216,0.853966
148,15500,-171.3454549587545,127,69.91018848907291,0.8527595
149,15606,-114.75681707135912,106,61.84962832927704,0.8517525
150,15662,-74.60445159248795,56,53.378815063408446,0.8512205
151,15764,-95.76979651979113,102,53.344978797669505,0.8502515
152,15916,-36.55229759711992,152,81.41421803086996,0.8488074999999999
153,16019,-72.67451712867538,103,80.54091741969285,0.847829
154,16079,-102.14255329685041,60,44.95243891278903,0.847259
155,16208,-62.744472471952015,129,81.58723486209101,0.8460335
156,16307,-30.287624189065937,99,64.77658001943068,0.845093
157,16385,-58.730881196836826,78,78.40676134137007,0.844352
158,16453,-75.31490958776928,68,34.39735025255119,0.8437060000000001
159,16623,-342.7202633862182,170,58.78073069733732,0.842091
160,16691,-59.59266342881612,68,59.504745202905994,0.841445
161,16835,-164.08241237578363,144,63.71519402911266,0.840077
162,16935,6.031091022938057,100,65.95184362411499,0.839127
163,17019,-36.2597599646536,84,55.51779529736156,0.838329
164,17103,-95.83037627418237,84,71.09210784804253,0.837531
165,17192,-90.3106741363815,89,63.27265475841051,0.8366855
166,17308,-15.038932635989639,116,64.73725498904442,0.8355835
167,17448,-42.20127386769386,140,62.346278874363215,0.8342535
168,17546,-207.38048364776608,98,55.99453936426007,0.8333225
169,17654,-130.2575644565418,108,68.1544999436096,0.8322965
170,17737,-70.63218522527353,83,70.20308704907636,0.831508
171,17804,-94.09771713285484,67,65.73769808082439,0.8308715
172,17921,-177.92267097901328,117,57.065610371593735,0.82976
173,17983,-81.2619337925869,62,61.6850274118685,0.829171
174,18056,-79.59814867511635,73,100.37816475352196,0.8284775
175,18173,-113.09320960658691,117,67.98615765979147,0.827366
176,18296,-110.81389653267358,123,68.79574736347044,0.8261975
177,18384,-91.59993414520629,88,66.13022252036767,0.8253615000000001
178,18462,-62.97699095187981,78,57.33787060318849,0.8246205
179,18571,-71.5338465965498,109,68.21195857295203,0.823585
180,18660,-79.90353777177529,89,54.59066243319029,0.8227395
181,18832,-4.99449737036548,172,70.31047369331814,0.8211055
182,18953,-259.69909952601915,121,82.61158700915408,0.819956
183,19033,-140.49597910932317,80,61.04126303568482,0.819196
184,19137,-97.26517084697338,104,81.46020858333661,0.818208
185,19204,-66.02549755974188,67,57.01406411715408,0.8175715
186,20204,67.78756596730612,1000,65.98575761073828,0.8080715
187,20287,-106.18696148250334,83,86.68573183252151,0.807283
188,20373,-93.05022414783151,86,48.26484758354897,0.806466
189,20443,-74.75943423567512,70,73.93774370806558,0.805801
190,20508,-37.058367660523174,65,95.53517452570108,0.8051835
191,20650,-256.69957912585755,142,55.30517204294742,0.8038345
192,20757,-123.96096983587876,107,46.52610397171751,0.802818
193,20814,-47.617532070920085,57,69.19743327718032,0.8022765000000001
194,20913,-89.29197931681033,99,64.51299442426122,0.801336
195,21014,32.272869397031144,101,70.86165907005272,0.8003765
196,21130,-119.2479086477286,116,82.41319851525898,0.7992745
197,21247,-76.29049635827901,117,53.06880251668457,0.798163
198,21323,-43.216091430516045,76,80.81625860772635,0.7974410000000001
199,21388,-93.50506229320645,65,66.01062600979438,0.7968235
200,21531,-76.55231683323638,143,64.51001020744964,0.795465
201,21628,-29.734115984799388,97,83.41625781649167,0.7945435000000001
202,21710,-104.95184574584056,82,89.30345994815593,0.7937645
203,21771,-50.57921572054349,61,67.52452917079457,0.793185
204,21867,-86.8725938607617,96,73.53087091694276,0.792273
205,21968,-25.185392991947552,101,84.03144984434147,0.7913135
206,22045,-38.224761704363715,77,95.27872489025066,0.790582
207,22182,-100.41607474205432,137,76.9886140840767,0.7892805
208,22251,-40.19269572236735,69,100.56383372562519,0.788625
209,22325,-88.91240995258144,74,116.7944471739434,0.787922
210,22409,-89.93854096718901,84,64.68634773436047,0.787124
211,22488,-84.65374013488986,79,92.39457571959194,0.7863735000000001
212,22547,-60.67230885148692,59,91.6193145816609,0.785813
213,22623,-62.40855988576905,76,62.39377819550665,0.785091
214,22761,-90.97434780832623,138,69.04697593917017,0.78378
215,22828,-64.60620235110173,67,42.042601846936925,0.7831435
216,22930,-61.675783573763376,102,81.75626091103928,0.7821745
217,23018,-104.76247325684969,88,87.74543263695456,0.7813384999999999
218,23113,-73.36359892015653,95,74.33840079182073,0.780436
219,23227,-52.67395927536007,114,90.36407517445714,0.779353
220,23288,-105.09127796972285,61,67.04515884547938,0.7787735
221,23425,-90.66022993215515,137,57.79793686588315,0.7774719999999999
222,23521,-44.71737546263133,96,83.54759992162387,0.77656
223,23594,-83.09458783650638,73,93.95147721734766,0.7758665
224,23710,-430.80838348852893,116,77.00061794601638,0.7747645000000001
225,23825,-86.22464794613894,115,82.34487927789273,0.773672
226,23937,-123.81137027752582,112,75.28413099369833,0.772608
227,24049,-52.881592831992364,112,58.37102070237909,0.771544
228,24177,-39.051905283040014,128,97.13745317514986,0.770328
229,24281,-98.71389955243004,104,69.27875490601247,0.76934
230,24417,-24.624431461573465,136,76.48888482153416,0.7680480000000001
231,24524,-77.61408065472887,107,104.08377310828628,0.7670315
232,24620,-51.92228118441076,96,87.87295286729932,0.7661195000000001
233,24686,-75.75819166284795,66,61.26775651808941,0.7654925
234,24822,-47.56038243765351,136,81.97789106211242,0.7642005000000001
235,24959,-86.97130523818275,137,87.93231575071377,0.762899
236,25043,-52.33457995171045,84,58.85319006301108,0.762101
237,25179,-84.61726426838513,136,72.12663646831231,0.7608090000000001
238,25344,16.89561872862835,165,110.59099870739561,0.7592415
239,25422,-25.608954370886934,78,73.12272322789217,0.7585005
240,25505,-43.08626815240392,83,107.00247871588512,0.757712
241,25623,-87.63136429978272,118,101.47373749442019,0.756591
242,25683,-87.9832160191788,60,100.32969036102295,0.756021
243,25802,-70.90144155609646,119,78.57778023371175,0.7548905
244,25904,-61.09172883162822,102,73.90205261052823,0.7539215
245,25999,-72.05599205499873,95,82.37835495597437,0.753019
246,26067,-57.989956531797176,68,70.7018621125642,0.752373
247,26172,-110.188353603647,105,81.4818430185318,0.7513755
248,26240,-78.39603502260988,68,116.7768610601916,0.7507295
249,26361,-86.48891902555866,121,91.07637287171418,0.74958
250,26429,-81.30163443441,68,95.97053764848148,0.748934
251,26553,-31.285130882418358,124,86.70776783074102,0.7477560000000001
252,26628,-50.621717871724,75,74.4039945268631,0.7470435
253,26736,-79.00641673207905,108,74.48256541126304,0.7460175
254,26831,-19.137829548462378,95,100.2365711638802,0.745115
255,27504,-179.2542795513258,673,90.41512137651443,0.7387215
256,27635,-63.1553358193059,131,82.30738297855581,0.737477
257,27715,-28.224946547319746,80,76.16894152015448,0.7367170000000001
258,27849,-86.91842761846642,134,101.51103981929039,0.735444
259,28012,-73.71942777424607,163,129.8711078993382,0.7338955
260,28116,-102.47644305131175,104,101.62160036197075,0.7329075
261,28186,-67.59759630026096,70,80.45539418969835,0.7322425
262,28341,-55.83837228286125,155,86.13881323645192,0.73077
263,28502,-68.96702176030847,161,90.51031218552441,0.7292405
264,28665,-57.74286965689058,163,68.63854530179428,0.727692
265,28747,-118.72557765362438,82,111.29968827962875,0.726913
266,28823,-56.94968308789717,76,83.4683067233939,0.726191
267,29014,-96.66734469217023,191,86.8659589253171,0.7243765
268,29151,-159.2365526947313,137,92.07785764488861,0.723075
269,29245,-24.08611693591233,94,85.97331497009765,0.7221820000000001
270,29389,-47.24519312883265,144,142.90676296419568,0.7208140000000001
271,29506,-68.8863114428833,117,84.18873019198067,0.7197025
272,29639,-101.20910157650565,133,124.52614567692119,0.718439
273,29766,-87.92839792319302,127,86.99693973327246,0.7172324999999999
